codigo_provincia,provincia,codigo_canton,canton,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,sectores_agricultura_ganaderia_silvicultura_pesca,sectores_explotacion_minas_canteras,sectores_manufactura,sectores_suministro_electricidad_agua,sectores_construccion,sectores_comercio,sectores_transporte_informacion_comunicaciones,sectores_alojamiento_servicios_comida,sectores_actividades_financieras,sectores_actividades_profesionales_inmobiliarias,sectores_administracion_publica,sectores_ensenanza,sectores_salud,sectores_otros_servicios,sectores_economia_total
02,BOLÃVAR,0202,Chillanes,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39778,SIN_ANIO_0202,2026-07-09,31332.18,10.05,161.29,925.99,2746.48,3559.75,307.45,47.41,1417.19,368.77,1775.88,3964.6,221.94,315.37,47154.350000000006
02,BOLÃVAR,0203,Chimbo,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39779,SIN_ANIO_0203,2026-07-09,17786.16,0.0,84.41,292.35,3062.59,3187.46,662.43,30.64,4534.79,912.11,3634.61,2459.84,229.45,776.48,37653.32
02,BOLÃVAR,0204,EcheandÃ­a,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39780,SIN_ANIO_0204,2026-07-09,7437.74,0.0,366.2,328.46,2208.04,2733.58,608.31,19.26,799.47,455.91,2511.54,3886.77,947.38,350.05,22652.71
03,CAÃ‘AR,0306,DÃ©leg,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39789,SIN_ANIO_0306,2026-07-09,524.67,0.0,94.66,215.4,413.63,460.92,174.27,8.34,380.71,657.91,4052.08,1119.17,120.72,81.24,8303.72
03,CAÃ‘AR,0307,Suscal,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39790,SIN_ANIO_0307,2026-07-09,32.49,0.0,26.18,80.01,624.75,1496.91,1186.13,14.49,1135.24,201.39,2309.25,866.85,11.77,249.21,8234.67
04,CARCHI,0401,TulcÃ¡n,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39791,SIN_ANIO_0401,2026-07-09,33615.95,105.26,7809.8,3747.67,18077.33,41043.64,60962.42,1359.82,28511.7,16380.79,27616.78,35556.94,7871.09,7403.22,290062.41000000003
04,CARCHI,0402,BolÃ­var,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39792,SIN_ANIO_0402,2026-07-09,35034.02,340.31,154.71,368.35,628.05,5314.75,381.09,24.46,2088.73,1380.64,5720.44,2797.01,17.09,104.72,54354.369999999995
04,CARCHI,0403,Espejo,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39793,SIN_ANIO_0403,2026-07-09,22250.77,0.0,889.53,447.13,700.22,3421.1,1448.26,41.91,1508.92,1303.65,6701.79,2516.52,1629.13,460.6,43319.52999999999
01,AZUAY,0104,NabÃ³n,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39765,SIN_ANIO_0104,2026-07-09,5179.3,107.62,37.66,248.2,1185.94,1217.58,1207.46,67.75,1434.66,1821.85,7726.41,2364.48,201.47,233.34,23033.72
01,AZUAY,0105,Paute,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39766,SIN_ANIO_0105,2026-07-09,14980.8,763.38,1749.86,1032.31,3756.98,7161.47,3099.87,1006.73,5898.29,4315.15,11822.81,5139.72,1339.48,571.01,62637.86000000001
01,AZUAY,0106,PucarÃ¡,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39767,SIN_ANIO_0106,2026-07-09,1770.82,4.91,18.19,16841.0,486.99,751.84,1090.58,198.84,908.99,342.89,4051.85,1638.22,42.13,119.81,28267.060000000005
04,CARCHI,0404,Mira,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39794,SIN_ANIO_0404,2026-07-09,13961.31,4.04,304.98,502.54,387.11,1684.28,828.76,45.18,1321.44,739.19,5527.94,2615.29,239.92,329.0,28490.979999999996
04,CARCHI,0405,MontÃºfar,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39795,SIN_ANIO_0405,2026-07-09,53730.87,0.0,5027.37,907.77,5938.26,9784.83,4446.71,253.02,4753.18,2341.93,10020.02,6005.21,2078.48,1425.72,106713.37000000001
04,CARCHI,0406,San Pedro de Huaca,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39796,SIN_ANIO_0406,2026-07-09,2602.85,0.0,3963.28,169.8,171.53,1511.6,798.89,10.08,3873.06,973.24,2900.62,1573.91,28.59,135.4,18712.85
01,AZUAY,0107,San Fernando,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39768,SIN_ANIO_0107,2026-07-09,287.15,0.0,110.82,99.64,363.55,291.45,137.91,33.67,791.12,401.78,2611.11,557.12,44.89,101.81,5832.020000000001
01,AZUAY,0108,Santa Isabel,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39769,SIN_ANIO_0108,2026-07-09,4554.85,6649.65,471.52,851.56,9645.79,4582.38,1900.47,397.4,6112.89,2437.39,7805.74,3359.29,1161.9,240.68,50171.51000000001
01,AZUAY,0109,Sigsig,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39770,SIN_ANIO_0109,2026-07-09,2098.77,0.0,453.17,536.67,2566.82,4300.36,1228.98,103.89,4894.51,1943.22,9343.72,4600.2,641.04,252.79,32964.14
01,AZUAY,0110,OÃ±a,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39771,SIN_ANIO_0110,2026-07-09,260.48,0.0,35.75,94.35,363.44,443.5,222.1,112.75,350.41,696.96,2285.22,615.8,580.44,62.51,6123.709999999999
07,EL ORO,0708,MarcabelÃ­,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39821,SIN_ANIO_0708,2026-07-09,103.39,968.64,252.05,217.97,1560.38,1676.7,122.29,51.01,253.93,585.99,5089.35,1147.39,23.65,139.18,12191.92
07,EL ORO,0709,Pasaje,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39822,SIN_ANIO_0709,2026-07-09,37410.04,62241.0,12935.07,4146.82,11266.58,52570.93,9315.19,1394.47,7110.93,10249.59,43673.79,19420.31,3720.0,6338.58,281793.30000000005
07,EL ORO,0710,PiÃ±as,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39823,SIN_ANIO_0710,2026-07-09,1115.29,4466.7,4755.58,1450.86,16667.07,21194.41,6658.54,609.17,5380.47,8411.68,15701.97,5337.7,5870.82,5282.05,102902.31000000001
07,EL ORO,0711,Portovelo,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39824,SIN_ANIO_0711,2026-07-09,5.7,96505.2,6707.63,4352.26,5404.94,3735.23,2869.67,309.82,828.84,8146.59,10175.56,2480.29,1055.44,158.15,142735.32
07,EL ORO,0712,Santa Rosa,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39825,SIN_ANIO_0712,2026-07-09,75282.82,24182.21,59564.81,6744.83,14504.1,73491.92,4655.49,2003.77,10511.13,21277.75,33982.52,17196.52,3732.64,6604.85,353735.36
07,EL ORO,0713,Zaruma,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39826,SIN_ANIO_0713,2026-07-09,658.96,118466.65,751.01,2091.73,6855.71,6207.99,2237.31,553.76,1816.08,3914.34,14575.92,4600.25,1932.31,1048.75,165710.77
07,EL ORO,0714,Las Lajas,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39827,SIN_ANIO_0714,2026-07-09,542.45,0.0,13.72,115.85,369.67,4315.73,72.64,23.16,1233.59,393.31,5139.45,911.5,15.64,79.87,13226.58
08,ESMERALDAS,0801,Esmeraldas,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39828,SIN_ANIO_0801,2026-07-09,22855.56,52.65,426471.05,26442.74,21375.86,113521.67,161570.83,4557.19,23526.93,45870.43,61439.52,70668.88,28938.95,23668.24,1030960.5
06,CHIMBORAZO,0610,CumandÃ¡,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39813,SIN_ANIO_0610,2026-07-09,6927.85,31.28,433.09,637.91,2613.85,3158.89,5241.25,361.39,2352.55,1779.66,3951.44,4075.99,232.68,301.7,32099.529999999995
07,EL ORO,0701,Machala,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39814,SIN_ANIO_0701,2026-07-09,518302.16,73200.74,199078.96,26008.38,110953.22,597338.75,96908.67,20466.69,108943.26,218753.97,105153.79,75809.75,78834.25,30671.4,2260423.9899999998
07,EL ORO,0702,Arenillas,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39815,SIN_ANIO_0702,2026-07-09,21610.4,0.01,14789.13,3675.91,2432.47,11214.72,2906.34,2590.34,1839.89,2723.97,18347.79,6551.68,285.81,2802.61,91771.06999999999
07,EL ORO,0703,Atahualpa,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39816,SIN_ANIO_0703,2026-07-09,215.33,2566.7,82.18,293.83,191.47,714.42,126.96,10.17,2760.49,461.05,5583.12,893.94,14.44,139.23,14053.33
07,EL ORO,0704,Balsas,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39817,SIN_ANIO_0704,2026-07-09,59.17,36.8,1186.29,328.42,3858.18,9132.65,1123.2,112.22,534.35,1595.27,5574.93,2345.25,73.04,488.31,26448.08
07,EL ORO,0705,Chilla,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39818,SIN_ANIO_0705,2026-07-09,120.49,2.64,11.94,63.88,20.37,174.1,14.94,1.23,152.31,220.88,4616.56,341.24,0.21,9.93,5750.72
07,EL ORO,0706,El Guabo,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39819,SIN_ANIO_0706,2026-07-09,207121.99,507.39,10648.14,12510.52,17749.02,34376.24,8319.11,604.8,1668.95,8671.37,24392.82,12422.28,3098.35,3696.66,345787.63999999996
07,EL ORO,0707,Huaquillas,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/VAB_CANTONAL,39820,SIN_ANIO_0707,2026-07-09,17077.57,201.91,13989.81,2906.07,21722.3,57664.24,8280.14,1667.48,1844.66,6506.69,23259.26,12862.97,2676.9,6694.93,177354.93
