anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2018,1591790,Total G -Comercio,1475364,1462771.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40316,2018_1591790,2026-07-09
2020,309360,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",244456,260976.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40438,2020_309360,2026-07-09
2021,309360,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",244456,269471.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40439,2021_309360,2026-07-09
2022,309360,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",244456,265904.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40440,2022_309360,2026-07-09
2018,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,209767.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40441,2018_76,2026-07-09
2019,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,238379.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40442,2019_76,2026-07-09
2020,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,176036.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40443,2020_76,2026-07-09
2021,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,197459.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40444,2021_76,2026-07-09
2019,54149,Total B -ExplotaciÃ³n de minas y canteras,58968,76420.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40245,2019_54149,2026-07-09
2020,54149,Total B -ExplotaciÃ³n de minas y canteras,58968,94093.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40246,2020_54149,2026-07-09
2022,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,205058.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40445,2022_76,2026-07-09
2023,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,215261.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40446,2023_76,2026-07-09
2024P,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,220126.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40447,2024P_76,2026-07-09
2018,209767,Total T -Actividades de los Hogares como empleadores,238379,176036.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40448,2018_209767,2026-07-09
2019,209767,Total T -Actividades de los Hogares como empleadores,238379,197459.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40449,2019_209767,2026-07-09
2020,209767,Total T -Actividades de los Hogares como empleadores,238379,205058.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40450,2020_209767,2026-07-09
2021,209767,Total T -Actividades de los Hogares como empleadores,238379,215261.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40451,2021_209767,2026-07-09
2022,209767,Total T -Actividades de los Hogares como empleadores,238379,220126.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40452,2022_209767,2026-07-09
2019,68,L -Actividades inmobiliarias,Actividades inmobiliarias,29597.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40370,2019_68,2026-07-09
2020,68,L -Actividades inmobiliarias,Actividades inmobiliarias,35271.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40371,2020_68,2026-07-09
2021,68,L -Actividades inmobiliarias,Actividades inmobiliarias,26013.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40372,2021_68,2026-07-09
2022,68,L -Actividades inmobiliarias,Actividades inmobiliarias,27273.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40373,2022_68,2026-07-09
2023,68,L -Actividades inmobiliarias,Actividades inmobiliarias,25504.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40374,2023_68,2026-07-09
2021,69556,Total D-E -Suministro de electricidad y agua,51912.5,69066.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40295,2021_69556,2026-07-09
2022,69556,Total D-E -Suministro de electricidad y agua,51912.5,67644.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40296,2022_69556,2026-07-09
2018,58,F -ConstrucciÃ³n,ConstrucciÃ³n,394563.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40297,2018_58,2026-07-09
2019,58,F -ConstrucciÃ³n,ConstrucciÃ³n,415663.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40298,2019_58,2026-07-09
2023,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,132703.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40422,2023_73,2026-07-09
2024P,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,131137.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40423,2024P_73,2026-07-09
2018,229989,Total Q -Salud y asistencia social,207603,218801.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40424,2018_229989,2026-07-09
2019,229989,Total Q -Salud y asistencia social,207603,212997.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40425,2019_229989,2026-07-09
