encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU*,oct-23,2023,10,Otro Empleo no pleno,2660249,1556377,1103871
ENEMDU*,oct-23,2023,10,Empleo no clasificado,7180,7180,0
ENEMDU*,oct-23,2023,10,Desempleo,298825,251691,47134
ENEMDU*,oct-23,2023,10,Desempleo Abierto,266756,227554,39202
ENEMDU*,oct-23,2023,10,Desempleo Oculto,32069,24137,7932
ENEMDU*,oct-23,2023,10,Desempleo Cesante,216746,184632,32114
ENEMDU*,oct-23,2023,10,Desempleo Nuevo,82079,67059,15020
ENEMDU*,oct-23,2023,10,Poblaciï¿½n Econï¿½micamente Inactiva,4705758,3636784,1068974
ENEMDU,jun-18,2018,6,Poblaciï¿½n Econï¿½micamente Inactiva,4044977,3080720,964257
ENEMDU,sep-18,2018,9,Poblaciï¿½n Total,17084713,11650950,5433763
ENEMDU,sep-18,2018,9,Poblaciï¿½n menor de 15 aï¿½os,4944950,3187834,1757116
ENEMDU,sep-18,2018,9,Poblaciï¿½n en Edad de Trabajar (PET),12139763,8463116,3676647
ENEMDU,sep-18,2018,9,Poblaciï¿½n Econï¿½micamente Activa,8266443,5519515,2746928
ENEMDU,sep-18,2018,9,Empleo,7933625,5232681,2700944
ENEMDU,sep-18,2018,9,Empleo Adecuado/Pleno,3274463,2691697,582766
ENEMDU,sep-18,2018,9,Subempleo,1605884,987731,618153
ENEMDU,sep-18,2018,9,Subempleo por insuficiencia de tiempo de trabajo,1296762,808250,488512
ENEMDU,sep-18,2018,9,Subempleo por insuficiencia de ingresos,309122,179481,129641
ENEMDU,sep-18,2018,9,Empleo no remunerado,879552,290093,589459
ENEMDU,sep-18,2018,9,Otro Empleo no pleno,2124567,1216217,908350
ENEMDU,sep-18,2018,9,Empleo no clasificado,49159,46943,2216
ENEMDU*,dic-21,2021,12,Empleo no clasificado,42320,39798,2522
ENEMDU*,dic-21,2021,12,Desempleo,356725,304933,51792
ENEMDU*,dic-21,2021,12,Desempleo Abierto,317561,280886,36674
ENEMDU*,dic-21,2021,12,Desempleo Oculto,39164,24047,15117
ENEMDU*,dic-21,2021,12,Desempleo Cesante,284063,247566,36497
ENEMDU*,dic-21,2021,12,Desempleo Nuevo,72662,57368,15294
ENEMDU*,dic-21,2021,12,Poblaciï¿½n Econï¿½micamente Inactiva,4155501,3177825,977676
ENEMDU*,ene-22,2022,1,Poblaciï¿½n Total,17958067,12242702,5715365
ENEMDU*,ene-22,2022,1,Poblaciï¿½n menor de 15 aï¿½os,5182430,3342319,1840111
ENEMDU*,ene-22,2022,1,Poblaciï¿½n en Edad de Trabajar (PET),12775637,8900383,3875254
ENEMDU*,ene-22,2022,1,Poblaciï¿½n Econï¿½micamente Activa,8505094,5572283,2932811
ENEMDU*,ene-22,2022,1,Empleo,8046520,5161871,2884649
ENEMDU*,ene-22,2022,1,Empleo Adecuado/Pleno,2813259,2306921,506338
ENEMDU*,ene-23,2023,1,Empleo no clasificado,41997,41401,596
ENEMDU*,ene-23,2023,1,Desempleo,321598,278026,43572
