encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU,dic-13,2013,12,Empleo Adecuado/Pleno,3328048,2680988,647060
ENEMDU,dic-13,2013,12,Subempleo,809269,477717,331552
ENEMDU,dic-13,2013,12,Subempleo por insuficiencia de tiempo de trabajo,654050,395291,258759
ENEMDU,dic-13,2013,12,Subempleo por insuficiencia de ingresos,155219,82427,72793
ENEMDU,dic-13,2013,12,Empleo no remunerado,493182,187999,305183
ENEMDU,dic-13,2013,12,Otro Empleo no pleno,2019279,1120868,898411
ENEMDU,dic-13,2013,12,Empleo no clasificado,14463,13558,905
ENEMDU,dic-13,2013,12,Desempleo,288745,229018,59727
ENEMDU,dic-13,2013,12,Desempleo Abierto,205127,173716,31411
ENEMDU,dic-13,2013,12,Desempleo Oculto,83618,55302,28317
ENEMDU,dic-13,2013,12,Desempleo Cesante,168649,142307,26342
ENEMDU,mar-17,2017,3,Desempleo Nuevo,77768,59859,17909
ENEMDU,mar-17,2017,3,Poblaciï¿½n Econï¿½micamente Inactiva,3642068,2809179,832889
ENEMDU,jun-17,2017,6,Poblaciï¿½n Total,16746087,11385717,5360370
ENEMDU,jun-17,2017,6,Poblaciï¿½n menor de 15 aï¿½os,4889667,3109207,1780460
ENEMDU,jun-17,2017,6,Poblaciï¿½n en Edad de Trabajar (PET),11856420,8276510,3579910
