anio_fiscal,pib_real_millones,poblacion_total,pib_pc_real_usd,tasa_variacion_anual,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2003,58675.51004391423,13131753,4468.2160899549535,1.0739990548413347,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39680,2003,2026-07-09
2004,62684.45382679273,13366595,4689.635155908646,4.9554243012433385,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39681,2004,2026-07-09
2005,66068.55003440834,13604351,4856.427920332866,3.5566255983489725,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39682,2005,2026-07-09
1970,14578.555757694388,6158194,2367.3427238074,4.06368300575406,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39647,1970,2026-07-09
1971,15170.138681057872,6335826,2394.342692027507,1.1405179296001045,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39648,1971,2026-07-09
1972,16542.37903364583,6517052,2538.322393874689,6.013328932679296,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39649,1972,2026-07-09
1973,17842.23270201036,6701476,2662.4332761932383,4.889484591005666,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39650,1973,2026-07-09
1974,20056.515647489898,6888846,2911.4478168752644,9.3528931939308,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39651,1974,2026-07-09
1975,22607.181463662462,7079340,3193.4024165617784,9.684343234738924,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39652,1975,2026-07-09
1976,23999.687397751506,7273086,3299.794254839212,3.3316138838518805,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39653,1976,2026-07-09
1977,24454.865904798196,7469958,3273.762169050776,-0.7889002700777414,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39654,1977,2026-07-09
1978,25713.21302363802,7669741,3352.552977165464,2.4067358606423728,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39655,1978,2026-07-09
1979,26768.759939445965,7872290,3400.377773106169,1.4265187236844223,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39656,1979,2026-07-09
1980,27604.70401970091,8077675,3417.4071152529546,0.5008073597431384,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39657,1980,2026-07-09
1981,30303.882113792966,8286189,3657.155552907732,7.0155070662990315,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39658,1981,2026-07-09
2024,113016.95709955737,17966573,6290.4014638494145,-2.663096633347839,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39701,2024 (p),2026-07-09
1982,30804.65672258467,8498305,3624.8000892630557,-0.8847166377418891,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39659,1982,2026-07-09
1983,31022.134537214468,8715248,3559.52401322538,-1.800818650138214,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39660,1983,2026-07-09
1984,31929.89989960457,8937841,3572.43991022044,0.3628546105342023,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39661,1984,2026-07-09
1985,33464.01965354519,9165196,3651.2061120728013,2.204829299634059,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39662,1985,2026-07-09
1986,34617.438690263756,9395641,3684.4147930155864,0.9095263297511424,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39663,1986,2026-07-09
1987,35925.60920732987,9628100,3731.329048029193,1.273316324278695,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39664,1987,2026-07-09
2006,68936.67386784051,13852369,4976.525955079634,2.472970601374347,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39683,2006,2026-07-09
2007,70248.1450951015,14106786,4979.741317058436,0.06461057387876501,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39684,2007,2026-07-09
2008,74859.88108349172,14359090,5213.414017426712,4.692466646165228,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39685,2008,2026-07-09
2009,75676.61145473529,14616393,5177.516193956696,-0.6885665199430124,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_REAL,39686,2009,2026-07-09
