anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2024P,01,"A -Agricultura, ganaderÃ­a y silvicultura","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",520735.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39989,2024P_01,2026-07-09
2018,6889879,"Total A -Agricultura, ganaderÃ­a y silvicultura",7010100,6805703.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39990,2018_6889879,2026-07-09
2019,6889879,"Total A -Agricultura, ganaderÃ­a y silvicultura",7010100,7065827.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39991,2019_6889879,2026-07-09
2020,6889879,"Total A -Agricultura, ganaderÃ­a y silvicultura",7010100,7118769.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39992,2020_6889879,2026-07-09
2021,6889879,"Total A -Agricultura, ganaderÃ­a y silvicultura",7010100,8199016.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39993,2021_6889879,2026-07-09
2022,6889879,"Total A -Agricultura, ganaderÃ­a y silvicultura",7010100,9876771.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39994,2022_6889879,2026-07-09
2018,12,A -Pesca y acuicultura,Pesca y acuicultura,1326952.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,39995,2018_12,2026-07-09
2019,68,L -Actividades inmobiliarias,Actividades inmobiliarias,7383988.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40130,2019_68,2026-07-09
2020,68,L -Actividades inmobiliarias,Actividades inmobiliarias,7276626.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40131,2020_68,2026-07-09
2021,68,L -Actividades inmobiliarias,Actividades inmobiliarias,7106948.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40132,2021_68,2026-07-09
2022,68,L -Actividades inmobiliarias,Actividades inmobiliarias,7436186.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40133,2022_68,2026-07-09
2023,68,L -Actividades inmobiliarias,Actividades inmobiliarias,7832978.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40134,2023_68,2026-07-09
2024P,68,L -Actividades inmobiliarias,Actividades inmobiliarias,8071707.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40135,2024P_68,2026-07-09
2018,7316735,Total L -Actividades inmobiliarias,7383988,7276626.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40136,2018_7316735,2026-07-09
2019,7316735,Total L -Actividades inmobiliarias,7383988,7106948.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40137,2019_7316735,2026-07-09
2020,7316735,Total L -Actividades inmobiliarias,7383988,7436186.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40138,2020_7316735,2026-07-09
2021,7316735,Total L -Actividades inmobiliarias,7383988,7832978.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40139,2021_7316735,2026-07-09
