anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,ramas_actividad_agricultura_pesca,ramas_actividad_minas_canteras,ramas_actividad_industrias_manufactureras,ramas_actividad_electricidad_gas,ramas_actividad_agua_saneamiento,ramas_actividad_construccion,ramas_actividad_comercio,ramas_actividad_transporte_almacenamiento,ramas_actividad_alojamiento_comidas,ramas_actividad_informacion_comunicacion,ramas_actividad_financieras_seguros,ramas_actividad_inmobiliarias,ramas_actividad_profesionales_cientificas,ramas_actividad_servicios_administrativos,ramas_actividad_administracion_publica,ramas_actividad_ensenanza,ramas_actividad_salud_asistencia,ramas_actividad_arte_entretenimiento,ramas_actividad_otros_servicios,ramas_actividad_hogares_empleadores,ramas_actividad_organizaciones_extraterritoriales,ramas_actividad_no_clasificado
2022,Manabï¿½,Portoviejo,Total Portoviejo,De 20-24,10,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23685,2022_manab_portoviejo_totalportoviejo_de2024,2026-07-09,950,1,457,14,651,19,48,749,2,726,431,957,129,70,29,277,433,321,225,564,131,539
2022,Manabï¿½,Bolï¿½var,Total Bolï¿½var,Total Bolï¿½var,13,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23731,2022_manab_bolvar_totalbolvar_totalbolvar,2026-07-09,533,3,249,7,581,32,59,679,1,837,587,583,75,100,14,156,347,644,882,323,99,302
2022,Manabï¿½,Bolï¿½var,Total Bolï¿½var,De 15-19,307,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23732,2022_manab_bolvar_totalbolvar_de1519,2026-07-09,136,0,16,0,1,17,67,7,21,1,0,0,1,7,0,3,2,2,7,3,0,16
2022,Manabï¿½,Bolï¿½var,Total Bolï¿½var,De 20-24,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23733,2022_manab_bolvar_totalbolvar_de2024,2026-07-09,85,321,1,59,2,3,86,231,36,61,13,2,2,10,30,23,19,17,18,43,23,0
2022,Manabï¿½,Jipijapa,Total Jipijapa,De 25-29,2,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23926,2022_manab_jipijapa_totaljipijapa_de2529,2026-07-09,770,571,4,149,3,10,174,493,135,169,34,23,11,70,81,136,101,314,17,71,57,0
2022,Manabï¿½,Jipijapa,Total Jipijapa,De 30-34,3,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23927,2022_manab_jipijapa_totaljipijapa_de3034,2026-07-09,6,631,2,127,13,13,212,480,181,185,25,28,4,47,82,201,205,246,13,58,77,0
2022,Manabï¿½,Jipijapa,Total Jipijapa,De 35-39,2,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23928,2022_manab_jipijapa_totaljipijapa_de3539,2026-07-09,920,591,0,125,8,16,213,418,187,152,28,12,3,46,80,200,252,205,8,90,96,0
2022,Manabï¿½,Total Manabï¿½,Hombres,De 75-79,3,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23664,2022_manab_totalmanab_hombres_de7579,2026-07-09,811,995,3,146,2,5,49,414,82,73,1,2,6,27,31,21,13,21,6,54,10,0
2022,Manabï¿½,Bolï¿½var,Hombres,De 20-24,784,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23749,2022_manab_bolvar_hombres_de2024,2026-07-09,313,1,46,2,3,85,141,33,27,6,2,1,6,25,10,6,6,11,25,1,0,34
2022,Manabï¿½,Bolï¿½var,Hombres,De 25-29,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23750,2022_manab_bolvar_hombres_de2529,2026-07-09,12,319,1,52,4,2,90,161,73,33,21,9,1,18,41,29,28,26,13,31,2,0
