periodo_fiscal,fecha_publicacion,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_iee_global,metricas_comercio,metricas_construccion,metricas_manufactura,metricas_servicios
2013-04,2013-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80388,2013-04,2026-07-09,57.6,60.9,51.9,60.5,55.7
2013-05,2013-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80389,2013-05,2026-07-09,55.7,57.7,52.8,53.4,56.1
2013-06,2013-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80390,2013-06,2026-07-09,52.7,51.4,49.1,50.5,55.0
2013-07,2013-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80391,2013-07,2026-07-09,60.7,55.3,57.2,55.4,66.5
2013-08,2013-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80392,2013-08,2026-07-09,58.3,57.9,55.8,53.5,61.1
2013-09,2013-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80393,2013-09,2026-07-09,54.7,56.1,57.3,54.1,53.7
2013-10,2013-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80394,2013-10,2026-07-09,57.2,59.7,52.7,60.4,55.3
2013-11,2013-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80395,2013-11,2026-07-09,58.5,58.2,60.7,51.4,61.4
2013-12,2013-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80396,2013-12,2026-07-09,51.3,50.9,50.9,48.5,52.8
2014-01,2014-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80397,2014-01,2026-07-09,47.0,47.3,50.3,50.7,44.5
2014-02,2014-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80398,2014-02,2026-07-09,53.3,52.7,55.7,54.4,52.7
2011-07,2011-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80367,2011-07,2026-07-09,56.4,50.4,59.4,52.7,60.7
2011-08,2011-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80368,2011-08,2026-07-09,59.7,58.9,62.2,57.6,60.6
2011-09,2011-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80369,2011-09,2026-07-09,58.3,52.5,52.8,55.4,63.9
2011-10,2011-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80370,2011-10,2026-07-09,58.6,57.0,61.2,55.4,60.4
2014-03,2014-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80399,2014-03,2026-07-09,59.5,57.2,49.3,58.4,63.2
2014-04,2014-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80400,2014-04,2026-07-09,57.5,59.4,57.8,57.8,56.4
2014-05,2014-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80401,2014-05,2026-07-09,59.3,59.5,52.2,55.2,62.4
2011-11,2011-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80371,2011-11,2026-07-09,54.4,57.2,53.6,45.6,57.0
2011-12,2011-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80372,2011-12,2026-07-09,53.7,51.2,61.6,49.8,55.3
2012-01,2012-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80373,2012-01,2026-07-09,49.5,44.8,63.5,49.5,49.3
2012-02,2012-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80374,2012-02,2026-07-09,58.2,50.5,55.5,53.7,64.8
2012-03,2012-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80375,2012-03,2026-07-09,61.6,61.2,53.2,54.7,66.6
2012-04,2012-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80376,2012-04,2026-07-09,58.4,54.8,60.8,53.3,62.2
2012-05,2012-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80377,2012-05,2026-07-09,62.6,61.0,58.2,61.1,65.0
2012-06,2012-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80378,2012-06,2026-07-09,53.3,55.4,58.8,53.4,51.1
2012-07,2012-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80379,2012-07,2026-07-09,53.7,56.8,53.0,55.4,51.5
2012-08,2012-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80380,2012-08,2026-07-09,54.4,56.9,58.4,55.0,52.1
2012-09,2012-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80381,2012-09,2026-07-09,61.9,52.5,62.4,55.5,69.6
2012-10,2012-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80382,2012-10,2026-07-09,62.8,61.3,56.1,61.0,65.8
2012-11,2012-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80383,2012-11,2026-07-09,59.0,54.8,60.4,47.7,66.0
2012-12,2012-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80384,2012-12,2026-07-09,53.9,50.0,52.3,49.7,58.1
2018-12,2018-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80456,2018-12,2026-07-09,50.1,48.6,41.2,46.4,54.2
2019-01,2019-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80457,2019-01,2026-07-09,48.0,43.6,48.8,52.0,48.3
2019-02,2019-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80458,2019-02,2026-07-09,52.8,52.8,51.6,48.9,54.7
2019-03,2019-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80459,2019-03,2026-07-09,60.0,60.5,49.7,58.9,62.3
2017-06,2017-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80438,2017-06,2026-07-09,54.4,57.3,52.3,53.9,53.5
2017-07,2017-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80439,2017-07,2026-07-09,53.2,53.0,43.4,50.0,56.7
2017-08,2017-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80440,2017-08,2026-07-09,52.7,58.0,48.4,54.0,50.0
2017-09,2017-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80441,2017-09,2026-07-09,54.6,56.4,37.0,53.3,57.6
2019-04,2019-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80460,2019-04,2026-07-09,58.2,63.0,45.7,55.2,59.4
2019-05,2019-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80461,2019-05,2026-07-09,53.1,55.0,51.9,53.9,52.0
2019-06,2019-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80462,2019-06,2026-07-09,50.0,50.0,50.0,47.6,51.1
2019-07,2019-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80463,2019-07,2026-07-09,58.6,66.4,49.2,55.3,57.8
2019-08,2019-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80464,2019-08,2026-07-09,57.3,65.4,49.5,52.1,56.9
2019-09,2019-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80465,2019-09,2026-07-09,47.4,46.7,46.8,49.5,46.9
2019-10,2019-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80466,2019-10,2026-07-09,48.9,49.6,47.8,54.2,46.3
2019-11,2019-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80467,2019-11,2026-07-09,57.3,59.3,51.2,48.6,61.2
2019-12,2019-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80468,2019-12,2026-07-09,52.8,53.4,48.5,48.8,55.2
2020-01,2020-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80469,2020-01,2026-07-09,48.4,43.9,49.8,53.2,48.4
2017-10,2017-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80442,2017-10,2026-07-09,54.9,58.4,45.1,58.0,53.6
2017-11,2017-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80443,2017-11,2026-07-09,54.9,60.6,50.7,50.4,54.7
2017-12,2017-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80444,2017-12,2026-07-09,52.1,47.5,47.5,48.1,57.4
2018-01,2018-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80445,2018-01,2026-07-09,46.2,44.9,54.6,51.9,42.6
2018-02,2018-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80446,2018-02,2026-07-09,50.9,50.8,50.5,51.2,51.0
2018-03,2018-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80447,2018-03,2026-07-09,59.1,62.0,42.6,58.3,61.1
2018-04,2018-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80448,2018-04,2026-07-09,54.7,56.3,43.7,52.7,56.8
2018-05,2018-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80449,2018-05,2026-07-09,53.4,56.8,50.8,53.7,51.9
2018-06,2018-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80450,2018-06,2026-07-09,49.4,52.5,48.8,48.1,48.4
2018-07,2018-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80451,2018-07,2026-07-09,53.3,53.6,43.6,52.1,55.6
2020-02,2020-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80470,2020-02,2026-07-09,51.0,48.3,50.1,52.2,52.1
2020-03,2020-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80471,2020-03,2026-07-09,35.3,36.4,38.7,40.6,31.7
2020-04,2020-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80472,2020-04,2026-07-09,42.5,42.9,43.8,47.6,39.7
2020-05,2020-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80473,2020-05,2026-07-09,54.6,51.8,53.7,56.6,55.2
2011-04,2011-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80364,2011-04,2026-07-09,60.5,61.3,66.4,54.9,61.5
2011-05,2011-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80365,2011-05,2026-07-09,58.4,59.5,62.6,58.7,56.9
2011-06,2011-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80366,2011-06,2026-07-09,55.8,56.7,54.8,55.6,55.5
