encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_nacional_total,metricas_area_urbana,metricas_area_rural,metricas_sexo_hombre,metricas_sexo_mujer
ENEMDU,dic-17,2017,12,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15454,2017-12_empleonoremunerado,2026-07-09,727778,271059,456719,205950,521828
ENEMDU,dic-17,2017,12,Otro Empleo no pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15455,2017-12_otroempleonopleno,2026-07-09,1951060,1112178,838881,1040569,910491
ENEMDU,dic-17,2017,12,Empleo no clasificado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15456,2017-12_empleonoclasificado,2026-07-09,12947,12318,630,9180,3767
ENEMDU,dic-17,2017,12,Desempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15457,2017-12_desempleo,2026-07-09,373871,319447,54423,167529,206342
ENEMDU,dic-17,2017,12,Desempleo Abierto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15458,2017-12_desempleoabierto,2026-07-09,300956,266821,34135,134912,166045
ENEMDU,jun-11,2011,6,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15069,2011-06_poblacinenedaddetrabajarpet,2026-07-09,10475984,7110864,3365121,5067018,5408966
ENEMDU,jun-11,2011,6,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15070,2011-06_poblacineconmicamenteactiva,2026-07-09,6553789,4380711,2173078,3933550,2620239
ENEMDU,jun-11,2011,6,Empleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15071,2011-06_empleo,2026-07-09,6224584,4101975,2122609,3764553,2460031
ENEMDU,jun-11,2011,6,Empleo Adecuado/Pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15072,2011-06_empleoadecuadopleno,2026-07-09,2789525,2279869,509656,1873207,916317
ENEMDU,jun-11,2011,6,Subempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15073,2011-06_subempleo,2026-07-09,781525,505913,275612,470628,310897
ENEMDU,jun-11,2011,6,Subempleo por insuficiencia de tiempo de trabajo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15074,2011-06_subempleoporinsuficienciadetiempode,2026-07-09,582663,389031,193632,332053,250610
ENEMDU,jun-11,2011,6,Subempleo por insuficiencia de ingresos,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15075,2011-06_subempleoporinsuficienciadeingresos,2026-07-09,198862,116882,81980,138574,60287
ENEMDU,jun-11,2011,6,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15076,2011-06_empleonoremunerado,2026-07-09,559469,196896,362573,175415,384054
ENEMDU,jun-11,2011,6,Otro Empleo no pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15077,2011-06_otroempleonopleno,2026-07-09,2032999,1061550,971449,1207640,825359
ENEMDU,jun-11,2011,6,Empleo no clasificado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15078,2011-06_empleonoclasificado,2026-07-09,61066,57747,3320,37662,23404
ENEMDU,jun-11,2011,6,Desempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15079,2011-06_desempleo,2026-07-09,329205,278736,50469,168998,160207
ENEMDU,jun-11,2011,6,Desempleo Abierto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15080,2011-06_desempleoabierto,2026-07-09,250069,226439,23629,131911,118157
ENEMDU,jun-11,2011,6,Desempleo Oculto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15081,2011-06_desempleooculto,2026-07-09,79136,52296,26840,37086,42050
ENEMDU,sep-14,2014,9,Poblaciï¿½n menor de 15 aï¿½os,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15212,2014-09_poblacinmenorde15aos,2026-07-09,4791894,3073507,1718387,2500168,2291726
ENEMDU,jun-08,2008,6,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14979,2008-06_poblacinenedaddetrabajarpet,2026-07-09,9513649,6474364,3039285,4678826,4834823
ENEMDU,jun-08,2008,6,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14980,2008-06_poblacineconmicamenteactiva,2026-07-09,6589368,4433491,2155877,3893496,2695873
ENEMDU,jun-08,2008,6,Empleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14981,2008-06_empleo,2026-07-09,6245225,4151002,2094223,3742213,2503012
ENEMDU,jun-08,2008,6,Empleo Adecuado/Pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14982,2008-06_empleoadecuadopleno,2026-07-09,2750595,2248018,502577,1937602,812993
ENEMDU,jun-08,2008,6,Subempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14983,2008-06_subempleo,2026-07-09,1130699,696949,433750,665939,464760
ENEMDU,jun-08,2008,6,Subempleo por insuficiencia de tiempo de trabajo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14984,2008-06_subempleoporinsuficienciadetiempode,2026-07-09,846132,527132,319001,457856,388276
ENEMDU,jun-15,2015,6,Desempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15277,2015-06_desempleo,2026-07-09,332117,277990,54127,159215,172902
