anio_fiscal,pib_nominal_millones,poblacion_total,pib_pc_nominal_usd,tasa_variacion_anual,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2017,104467.4857141129,16792803,6220.967739222147,5.2986368821757335,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39754,2017,2026-07-09
2018,107478.961,17077883,6293.459265413635,1.1652773206721534,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39755,2018,2026-07-09
2019,107595.83,17356880,6199.03058614221,-1.5004256846527508,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39756,2019,2026-07-09
2020,95865.473,17526455,5469.7583167845405,-11.76429538818442,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39757,2020,2026-07-09
2021,107179.074,17614396,6084.74307038402,11.24336246653408,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39758,2021,2026-07-09
2022,116133.121,17715301,6555.526265119627,7.737108852254226,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39759,2022,2026-07-09
2023,120792.801,17834831,6772.859299872255,3.315264495377046,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39760,2023,2026-07-09
2024,123802.374,17966573,6890.706090694091,1.7399858110747735,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39761,2024 (p),2026-07-09
1998,27192.30296856686,12074210,2252.0978986258197,-3.021104325203372,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39735,1998,2026-07-09
1999,19023.35134196026,12281694,1548.9191753157393,-31.223275139999217,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39736,1999,2026-07-09
2000,17530.6846819522,12480574,1404.6376939035174,-9.31497806415953,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39737,2000,2026-07-09
2001,23127.055074149925,12681367,1823.7036333819474,29.83445064142036,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39738,2001,2026-07-09
2002,27054.197610410934,12900668,2097.1160261167047,14.992150464038435,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39739,2002,2026-07-09
2003,30965.20773889782,13131753,2358.040677348852,12.442070347214408,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39740,2003,2026-07-09
2004,35194.94756818355,13366595,2633.052588799432,11.662729743906542,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39741,2004,2026-07-09
2005,40278.85025245913,13604351,2960.7329487793377,12.44488474608534,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39742,2005,2026-07-09
2006,45690.76228867148,13852369,3298.407823865469,11.405110860314128,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39743,2006,2026-07-09
2007,49848.726264108926,14106786,3533.6699843684396,7.132597697614673,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39744,2007,2026-07-09
2008,61139.43708245065,14359090,4257.89079130019,20.49486256881423,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39745,2008,2026-07-09
2009,60094.97693705658,14616393,4111.4779095674685,-3.438624636213683,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39746,2009,2026-07-09
2010,68151.32924677474,14883661,4578.935871139146,11.369584656745847,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39747,2010,2026-07-09
2011,78986.64783919991,15160587,5209.999311979141,13.781879864655089,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39748,2011,2026-07-09
2012,87735.04774071148,15440550,5682.119337763971,9.061805914240795,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39749,2012,2026-07-09
2013,96570.3347341686,15717514,6144.122711401345,8.130828414089276,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39750,2013,2026-07-09
2014,102717.79336089878,15994366,6422.123475284908,4.524661647263173,Banco Central del Ecuador,BCE/CUENTAS_NACIONALES/PIB_PC_NOMINAL,39751,2014,2026-07-09
