anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,grupos_ocupacion_ocupaciones_militares,grupos_ocupacion_directores_gerentes,grupos_ocupacion_profesionales_cientificos,grupos_ocupacion_tecnicos_medio_nivel,grupos_ocupacion_personal_apoyo_admin,grupos_ocupacion_trabajadores_servicios,grupos_ocupacion_agricultores_calificados,grupos_ocupacion_oficiales_operarios_artes,grupos_ocupacion_operadores_maquinaria,grupos_ocupacion_ocupaciones_elementales,grupos_ocupacion_no_especificado
2022,Pastaza,Pastaza,Mujeres,De 15-19,349,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37079,2022_pastaza_pastaza_mujeres_de1519,2026-07-09,0,1,2,6,11,136,42,13,9,113,16
2022,Pastaza,Pastaza,Mujeres,De 20-24,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37080,2022_pastaza_pastaza_mujeres_de2024,2026-07-09,130,0,7,65,87,62,462,97,36,6,233
2022,Pastaza,Arajuno,Total Arajuno,De 15-19,52,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37190,2022_pastaza_arajuno_totalarajuno_de1519,2026-07-09,0,0,1,0,3,11,8,5,4,15,5
2022,Pichincha,Pedro Moncayo,Mujeres,De 20-24,988,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37445,2022_pichincha_pedromoncayo_mujeres_de2024,2026-07-09,0,2,28,28,39,193,453,23,11,175,36
2022,Pichincha,Pedro Moncayo,Mujeres,De 25-29,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37446,2022_pichincha_pedromoncayo_mujeres_de2529,2026-07-09,340,0,18,167,70,78,215,582,21,5,144
2022,Pichincha,Pedro Moncayo,Mujeres,De 30-34,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37447,2022_pichincha_pedromoncayo_mujeres_de3034,2026-07-09,191,0,14,149,41,43,131,615,20,8,126
2022,Pichincha,Pedro Moncayo,Mujeres,De 35-39,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37448,2022_pichincha_pedromoncayo_mujeres_de3539,2026-07-09,132,0,13,103,30,30,162,584,22,4,131
2022,Pastaza,Pastaza,Mujeres,De 70-74,129,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37090,2022_pastaza_pastaza_mujeres_de7074,2026-07-09,0,2,5,2,1,36,28,9,2,9,35
2022,Pastaza,Arajuno,Mujeres,De 40-44,44,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37225,2022_pastaza_arajuno_mujeres_de4044,2026-07-09,0,1,10,5,3,7,2,4,0,7,5
2022,Pichincha,Distrito Metropolitano de Quito,Hombres,De 30-34,94,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37287,2022_pichincha_distritometropolitanodequito_hombres_de3034,2026-07-09,518,1,542,3,47,17,585,9,355,5,986
2022,Pichincha,Distrito Metropolitano de Quito,Hombres,De 35-39,93,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37288,2022_pichincha_distritometropolitanodequito_hombres_de3539,2026-07-09,856,1,386,3,702,16,581,7,998,5,484
2022,Pichincha,Distrito Metropolitano de Quito,Hombres,De 40-44,85,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37289,2022_pichincha_distritometropolitanodequito_hombres_de4044,2026-07-09,393,1,466,4,28,13,245,6,719,4,316
2022,Pichincha,Distrito Metropolitano de Quito,Hombres,De 45-49,69,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37290,2022_pichincha_distritometropolitanodequito_hombres_de4549,2026-07-09,745,962,3,563,9,838,5,55,3,125,11
2022,Pastaza,Mera,Hombres,De 50-54,211,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37118,2022_pastaza_mera_hombres_de5054,2026-07-09,2,3,28,15,6,31,26,40,35,21,4
2022,Pastaza,Mera,Hombres,De 55-59,171,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37119,2022_pastaza_mera_hombres_de5559,2026-07-09,5,4,25,5,2,25,19,35,25,20,6
2022,Pastaza,Mera,Hombres,De 60-64,127,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37120,2022_pastaza_mera_hombres_de6064,2026-07-09,3,0,7,7,2,24,15,18,25,16,10
2022,Pastaza,Mera,Hombres,De 65-69,57,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37121,2022_pastaza_mera_hombres_de6569,2026-07-09,0,3,0,6,1,3,11,6,10,9,8
2022,Pastaza,Mera,Hombres,De 70-74,35,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37122,2022_pastaza_mera_hombres_de7074,2026-07-09,0,1,1,0,1,6,9,4,3,8,2
2022,Pastaza,Arajuno,Total Arajuno,De 20-24,175,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37191,2022_pastaza_arajuno_totalarajuno_de2024,2026-07-09,1,1,5,9,13,41,34,19,3,40,9
2022,Pastaza,Arajuno,Total Arajuno,De 25-29,204,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37192,2022_pastaza_arajuno_totalarajuno_de2529,2026-07-09,1,5,21,13,14,49,27,19,9,35,11
2022,Pastaza,Arajuno,Total Arajuno,De 30-34,211,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37193,2022_pastaza_arajuno_totalarajuno_de3034,2026-07-09,1,4,38,20,12,32,21,30,12,34,7
2022,Pastaza,Arajuno,Total Arajuno,De 35-39,184,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37194,2022_pastaza_arajuno_totalarajuno_de3539,2026-07-09,1,4,56,12,15,20,25,20,9,11,11
2022,Pastaza,Arajuno,Total Arajuno,De 40-44,134,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37195,2022_pastaza_arajuno_totalarajuno_de4044,2026-07-09,1,5,31,8,6,12,15,18,8,20,10
2022,Pastaza,Pastaza,Mujeres,De 75-79,69,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37091,2022_pastaza_pastaza_mujeres_de7579,2026-07-09,0,2,0,3,0,19,10,3,0,7,25
2022,Pastaza,Pastaza,Mujeres,De 80-84,25,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37092,2022_pastaza_pastaza_mujeres_de8084,2026-07-09,0,0,0,0,0,6,6,0,0,4,9
2022,Pastaza,Pastaza,Mujeres,85 o mï¿½s,11,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37093,2022_pastaza_pastaza_mujeres_85oms,2026-07-09,0,0,0,0,0,5,3,1,0,0,2
2022,Pastaza,Mera,Total Mera,Total Mera,5,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37094,2022_pastaza_mera_totalmera_totalmera,2026-07-09,45,372,95,589,318,197,1,210,315,597,314
2022,Pastaza,Mera,Total Mera,De 15-19,206,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37095,2022_pastaza_mera_totalmera_de1519,2026-07-09,1,0,3,1,9,57,7,23,4,89,12
2022,Pichincha,Distrito Metropolitano de Quito,Hombres,De 50-54,59,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37291,2022_pichincha_distritometropolitanodequito_hombres_de5054,2026-07-09,683,532,2,934,8,281,4,56,2,526,9
2022,Pastaza,Mera,Hombres,De 75-79,27,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37123,2022_pastaza_mera_hombres_de7579,2026-07-09,0,1,1,1,0,6,3,0,2,6,7
2022,Pastaza,Mera,Hombres,De 80-84,6,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37124,2022_pastaza_mera_hombres_de8084,2026-07-09,0,0,0,0,0,3,1,1,1,0,0
2022,Pastaza,Mera,Hombres,85 o mï¿½s,6,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37125,2022_pastaza_mera_hombres_85oms,2026-07-09,0,0,0,0,0,3,1,0,0,2,0
2022,Pastaza,Mera,Mujeres,Total Mujeres,2,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37126,2022_pastaza_mera_mujeres_totalmujeres,2026-07-09,118,18,38,336,145,114,731,89,98,24,388
2022,Pichincha,Total Pichincha,Hombres,Total Hombres,780,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37235,2022_pichincha_totalpichincha_hombres_totalhombres,2026-07-09,858,9,375,26,314,109,716,59,453,40,628
2022,Pastaza,Arajuno,Total Arajuno,De 45-49,123,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37196,2022_pastaza_arajuno_totalarajuno_de4549,2026-07-09,0,4,36,8,11,13,14,10,5,13,9
2022,Pastaza,Arajuno,Total Arajuno,De 50-54,100,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37197,2022_pastaza_arajuno_totalarajuno_de5054,2026-07-09,0,5,27,7,11,14,11,7,9,3,6
2022,Pastaza,Arajuno,Total Arajuno,De 55-59,74,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37198,2022_pastaza_arajuno_totalarajuno_de5559,2026-07-09,0,1,15,4,3,9,11,8,8,11,4
2022,Pichincha,Pedro Vicente Maldonado,Hombres,De 20-24,508,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37573,2022_pichincha_pedrovicentemaldonado_hombres_de2024,2026-07-09,4,1,5,10,9,59,100,67,38,208,7
2022,Pichincha,Pedro Vicente Maldonado,Hombres,De 25-29,517,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37574,2022_pichincha_pedrovicentemaldonado_hombres_de2529,2026-07-09,4,4,21,20,14,63,130,61,36,158,6
2022,Pastaza,Mera,Total Mera,De 20-24,546,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37096,2022_pastaza_mera_totalmera_de2024,2026-07-09,12,3,24,36,28,166,34,86,21,121,15
2022,Pastaza,Mera,Total Mera,De 25-29,681,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37097,2022_pastaza_mera_totalmera_de2529,2026-07-09,49,14,83,44,31,182,31,84,30,113,20
2022,Pastaza,Mera,Total Mera,De 30-34,690,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37098,2022_pastaza_mera_totalmera_de3034,2026-07-09,91,16,93,54,35,153,29,67,41,87,24
2022,Pastaza,Arajuno,Hombres,De 25-29,125,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37208,2022_pastaza_arajuno_hombres_de2529,2026-07-09,1,2,8,10,4,25,18,16,9,27,5
2022,Pastaza,Arajuno,Hombres,De 30-34,139,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37209,2022_pastaza_arajuno_hombres_de3034,2026-07-09,1,1,20,10,7,19,16,28,12,22,3
2022,Pichincha,Total Pichincha,Hombres,De 15-19,16,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37236,2022_pichincha_totalpichincha_hombres_de1519,2026-07-09,948,49,35,174,760,943,3,600,955,2,151
2022,Pichincha,Total Pichincha,Hombres,De 20-24,70,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37237,2022_pichincha_totalpichincha_hombres_de2024,2026-07-09,387,545,521,4,109,5,579,5,197,15,303
2022,Pichincha,Total Pichincha,Hombres,De 25-29,102,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37238,2022_pichincha_totalpichincha_hombres_de2529,2026-07-09,742,1,350,1,764,15,189,9,836,7,104
2022,Pichincha,Total Pichincha,Hombres,De 30-34,107,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37239,2022_pichincha_totalpichincha_hombres_de3034,2026-07-09,809,1,881,3,273,19,144,10,136,6,593
2022,Pichincha,Total Pichincha,Hombres,De 35-39,106,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,37240,2022_pichincha_totalpichincha_hombres_de3539,2026-07-09,581,1,727,3,966,17,954,8,691,6,16
