anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,17H03687,CECOMSYS,PICHINCHA,17,RUMIÑAHUI,1705,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,12,6,0,PICHINCHA,RUMINAHUI,6
2023-2024 INICIO,06H00116,COLEGIO DE BACHILLERATO DR EUGENIO ESPEJO PCEI,CHIMBORAZO,6,RIOBAMBA,601,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,19,3,1,CHIMBORAZO,RIOBAMBA,4
2023-2024 INICIO,01H01615,COLEGIO DE BACHILLERATO PARTICULAR ATLÁNTICO PCEI,AZUAY,1,CUENCA,101,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,279,27,60,AZUAY,CUENCA,87
2023-2024 INICIO,01H02032,COLEGIO DE BACHILLERATO PARTICULAR NEUE SCHULE,AZUAY,1,CUENCA,101,BACHILLERATO,PARTICULAR,30,3,4,AZUAY,CUENCA,7
2023-2024 INICIO,11H01909,COLEGIO DE BACHILLERATO PARTICULAR PCEI DR JOSE MARIA VIVAR CASTRO,LOJA,11,LOJA,1101,BACHILLERATO,PARTICULAR,69,47,18,LOJA,LOJA,65
2023-2024 INICIO,11H00091,COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA,LOJA,11,LOJA,1101,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,136,44,25,LOJA,LOJA,69
2023-2024 INICIO,08H02102,COLEGIO DE BACHILLERATO PARTICULAR PCEI PROVINCIA DE ESMERALDAS,ESMERALDAS,8,ESMERALDAS,801,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,231,45,37,ESMERALDAS,ESMERALDAS,82
2023-2024 INICIO,17H04359,COLEGIO DE BACHILLERATO PARTICULAR PCEI VALLE,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,3,1,0,PICHINCHA,QUITO,1
2023-2024 INICIO,18H00993,COLEGIO DE BACHILLERATO PCEI AMÉRICA,TUNGURAHUA,18,AMBATO,1801,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,155,29,33,TUNGURAHUA,AMBATO,62
2023-2024 INICIO,10H00080,COLEGIO DE BACHILLERATO PCEI AMERICANO,IMBABURA,10,IBARRA,1001,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,148,34,26,IMBABURA,IBARRA,60
2023-2024 INICIO,05H00853,COLEGIO DE BACHILLERATO PCEI BUENAS NUEVAS,COTOPAXI,5,PUJILI,504,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,44,9,2,COTOPAXI,PUJILI,11
2023-2024 INICIO,10H00084,COLEGIO DE BACHILLERATO PCEI MANUELA ESPEJO,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,83,33,12,IMBABURA,IBARRA,45
2023-2024 INICIO,06H01926,COLEGIO DE BACHILLERATO PCEI OXFORD,CHIMBORAZO,6,RIOBAMBA,601,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,38,4,4,CHIMBORAZO,RIOBAMBA,8
2023-2024 INICIO,06H01452,COLEGIO DE BACHILLERATO PCEI SULTANA DE LOS ANDES,CHIMBORAZO,6,RIOBAMBA,601,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,92,13,10,CHIMBORAZO,RIOBAMBA,23
2023-2024 INICIO,10H00786,COLEGIO DE BACHILLERATO PCEI TIERRA NUEVA,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,256,34,27,IMBABURA,IBARRA,61
2023-2024 INICIO,10H00115,COLEGIO DE BACHILLERATO PCEI VIEJO LUCHADOR,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,185,32,12,IMBABURA,IBARRA,44
2023-2024 INICIO,13H05184,COLEGIO PARTICULAR A DISTANCIA MANUELA SAENZ,MANABI,13,PORTOVIEJO,1301,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,30,16,8,MANABI,PORTOVIEJO,24
2023-2024 INICIO,17H02378,COLEGIO POPULAR PARTICULAR A DISTANCIA SIMON BOLIVAR,PICHINCHA,17,RUMIÑAHUI,1705,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,90,17,18,PICHINCHA,RUMINAHUI,35
2023-2024 INICIO,15H00274,CRISTOBAL COLON,NAPO,15,TENA,1501,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,32,13,3,NAPO,TENA,16
2023-2024 INICIO,17H02179,DON BOSCO CAYAMBE,PICHINCHA,17,CAYAMBE,1702,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,77,15,13,PICHINCHA,CAYAMBE,28
2023-2024 INICIO,05H00846,EXTENSIÓN EDUCATIVA MORASPUNGO PERTENECIENTE A LA UE PCEI EL CORAZÓN,COTOPAXI,5,PANGUA,503,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,103,16,7,COTOPAXI,PANGUA,23
2023-2024 INICIO,17H00044,INSTITUCIÓN EDUCATIVA PARTICULAR JERICO,PICHINCHA,17,QUITO,1701,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,20,7,4,PICHINCHA,QUITO,11
2023-2024 INICIO,17H03444,INSTITUCIÓN EDUCATIVA PARTICULAR PARA PERSONAS CON ESCOLARIDAD INCONCLUSA ISRAEL,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,59,17,14,PICHINCHA,QUITO,31
2023-2024 INICIO,06H01036,JOSE MARIA VELAZ,CHIMBORAZO,6,GUANO,607,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,7,4,1,CHIMBORAZO,GUANO,5
2023-2024 INICIO,17H02180,PCEI OSWALDO GUAYASAMIN,PICHINCHA,17,CAYAMBE,1702,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,52,10,4,PICHINCHA,CAYAMBE,14
2023-2024 INICIO,17H04190,PCEI SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,BACHILLERATO,PARTICULAR,32,15,17,PICHINCHA,RUMINAHUI,32
2023-2024 INICIO,10H00587,PEDRO VICENTE MALDONADO,IMBABURA,10,IBARRA,1001,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,295,81,39,IMBABURA,IBARRA,120
2023-2024 INICIO,17H03618,SAN JUAN PABLO II,PICHINCHA,17,QUITO,1701,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",PARTICULAR,210,58,28,PICHINCHA,QUITO,86
2023-2024 INICIO,17H02379,SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,BACHILLERATO,PARTICULAR,32,19,13,PICHINCHA,RUMINAHUI,32
2023-2024 INICIO,17H04340,"U.E. FISCOMISIONAL JOSÉ MARÍA VÉLAZ, S.J.- IRFEYAL- MATRIZ",PICHINCHA,17,QUITO,1701,BACHILLERATO,FISCOMISIONAL,110,31,33,PICHINCHA,QUITO,64
2023-2024 INICIO,17H00469,UE PARTICULAR PCEI CASA DE LA CULTURA ECUATORIANA,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,54,14,13,PICHINCHA,QUITO,27
2023-2024 INICIO,17H04396,UEP PCEI FIBONACCI,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,1,0,1,PICHINCHA,QUITO,1
2023-2024 INICIO,02H00794,UNIDAD EDUCATIVA PCEI 23 DE AGOSTO,BOLIVAR,2,GUARANDA,201,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,20,9,2,BOLIVAR,GUARANDA,11
2023-2024 INICIO,05H00258,UNIDAD EDUCATIVA PCEI MONSEÑOR LEONIDAS PROAÑO,COTOPAXI,5,PANGUA,503,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,49,4,8,COTOPAXI,PANGUA,12
2023-2024 INICIO,13H05166,UNIDAD EDUCATIVA A DISTANCIA RIOS DE AGUA VIVA,MANABI,13,MANTA,1308,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,65,15,8,MANABI,MANTA,23
2023-2024 INICIO,17H04413,UNIDAD EDUCATIVA ARUPOS,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,604,35,46,PICHINCHA,QUITO,81
2023-2024 INICIO,17H04399,UNIDAD EDUCATIVA BENNARES,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,43,4,2,PICHINCHA,QUITO,6
2023-2024 INICIO,13H04857,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAS SJ EXT 28 CHONE,MANABI,13,CHONE,1303,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,17,1,3,MANABI,CHONE,4
2023-2024 INICIO,13H04858,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 30 FLAVIO ALFARO,MANABI,13,FLAVIO ALFARO,1305,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,177,24,13,MANABI,FLAVIO ALFARO,37
2023-2024 INICIO,13H04864,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 86D LAS HABRAS,MANABI,13,CHONE,1303,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,14,3,2,MANABI,CHONE,5
2023-2024 INICIO,05H00268,"UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ, SJ  IRFEYAL  EXTENSION 95-A-LA MANA",COTOPAXI,5,LA MANA,502,BACHILLERATO Y OFERTAS INTENSIVAS,FISCOMISIONAL,104,10,9,COTOPAXI,LA MANA,19
2023-2024 INICIO,08H00131,UNIDAD EDUCATIVA FISCOMISIONAL PCEI MONSEÑOR LEONIDAS PROAÑO,ESMERALDAS,8,ESMERALDAS,801,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,625,86,53,ESMERALDAS,ESMERALDAS,139
2023-2024 INICIO,01H00283,UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL DEL AZUAY,AZUAY,1,CUENCA,101,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCOMISIONAL,787,92,87,AZUAY,CUENCA,179
2023-2024 INICIO,01H01546,UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL DEL AZUAY,AZUAY,1,CUENCA,101,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,420,63,57,AZUAY,CUENCA,120
2023-2024 INICIO,09H06709,UNIDAD EDUCATIVA GUAYACANES,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,532,29,38,GUAYAS,GUAYAQUIL,67
2023-2024 INICIO,12H01902,UNIDAD EDUCATIVA LIBERTADOR,LOS RIOS,12,MOCACHE,1212,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,49,12,8,LOS RIOS,MOCACHE,20
2023-2024 INICIO,17H00832,UNIDAD EDUCATIVA MUNICIPAL SUCRE,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,MUNICIPAL,238,18,46,PICHINCHA,QUITO,64
2023-2024 INICIO,09H05396,UNIDAD EDUCATIVA NUEVA BALZAR,GUAYAS,9,BALZAR,904,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,47,5,6,GUAYAS,BALZAR,11
2023-2024 INICIO,05H00026,UNIDAD EDUCATIVA P C E I ALBERT EISTEIN,COTOPAXI,5,LATACUNGA,501,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,324,1,0,COTOPAXI,LATACUNGA,1
2023-2024 INICIO,17H04411,UNIDAD EDUCATIVA PARTICULAR NUEVO ECUADOR HIGH SCHOOL,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,68,13,5,PICHINCHA,QUITO,18
2023-2024 INICIO,17H00614,"UNIDAD EDUCATIVA PARTICULAR ""JOSÉ MILLER SALAZAR""",PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,43,3,9,PICHINCHA,QUITO,12
2023-2024 INICIO,09H06721,UNIDAD EDUCATIVA PARTICULAR 25 DE MARZO,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,132,3,3,GUAYAS,GUAYAQUIL,6
2023-2024 INICIO,09H05932,UNIDAD EDUCATIVA PARTICULAR A DISTANCI KEVIN ROBERTS,GUAYAS,9,DURAN,907,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,321,46,48,GUAYAS,DURAN,94
2023-2024 INICIO,13H04765,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA ANDINOS,MANABI,13,EL CARMEN,1304,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,40,3,7,MANABI,EL CARMEN,10
2023-2024 INICIO,09H05996,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA DR. LUIS ALFONSO SALTOS ESPINOZA,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,304,70,46,GUAYAS,GUAYAQUIL,116
2023-2024 INICIO,15H00393,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA ECUADOR,NAPO,15,TENA,1501,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,105,11,5,NAPO,TENA,16
2023-2024 INICIO,13H04717,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA ELOY ALFARO,MANABI,13,EL CARMEN,1304,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,417,74,61,MANABI,EL CARMEN,135
2023-2024 INICIO,09H00507,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA HERMAN HESSE,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,120,37,21,GUAYAS,GUAYAQUIL,58
2023-2024 INICIO,09H02135,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA JUAN MONTALVO FIALLOS,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,138,66,43,GUAYAS,GUAYAQUIL,109
2023-2024 INICIO,17H02739,UNIDAD EDUCATIVA PARTICULAR COMPUINFORMATICA,PICHINCHA,17,QUITO,1701,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",PARTICULAR,174,2,5,PICHINCHA,QUITO,7
2023-2024 INICIO,09H04630,UNIDAD EDUCATIVA PARTICULAR CREAR,GUAYAS,9,SAMBORONDON,916,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,860,26,40,GUAYAS,SAMBORONDON,66
2023-2024 INICIO,09H06708,UNIDAD EDUCATIVA PARTICULAR CREAR,GUAYAS,9,SAMBORONDON,916,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,208,8,8,GUAYAS,SAMBORONDON,16
2023-2024 INICIO,17H04461,UNIDAD EDUCATIVA PARTICULAR CRISTO SALVADOR,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,32,14,10,PICHINCHA,QUITO,24
2023-2024 INICIO,17H04426,UNIDAD EDUCATIVA PARTICULAR INN GENIUS,PICHINCHA,17,RUMIÑAHUI,1705,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,35,4,1,PICHINCHA,RUMINAHUI,5
2023-2024 INICIO,17H04486,UNIDAD EDUCATIVA PARTICULAR INNOVAR,PICHINCHA,17,QUITO,1701,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,96,4,4,PICHINCHA,QUITO,8
2023-2024 INICIO,17H04468,UNIDAD EDUCATIVA PARTICULAR INTIYAN,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,1,1,0,PICHINCHA,QUITO,1
2023-2024 INICIO,17H04460,UNIDAD EDUCATIVA PARTICULAR JULIO CORTÁZAR,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,37,20,17,PICHINCHA,QUITO,37
2023-2024 INICIO,09H05929,UNIDAD EDUCATIVA PARTICULAR PCEI A 8 DE MARZO,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,257,45,37,GUAYAS,GUAYAQUIL,82
2023-2024 INICIO,09H06712,UNIDAD EDUCATIVA PARTICULAR PCEI A DISTANCIA MARTIN LUTHER KING,GUAYAS,9,DURAN,907,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,160,51,30,GUAYAS,DURAN,81
2023-2024 INICIO,09H06679,UNIDAD EDUCATIVA PARTICULAR PCEI A DISTANCIA SANTANDER,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,104,30,15,GUAYAS,GUAYAQUIL,45
2023-2024 INICIO,17H04422,UNIDAD EDUCATIVA PARTICULAR PCEI ALTAVISTA,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,183,42,36,PICHINCHA,QUITO,78
2023-2024 INICIO,09H06733,UNIDAD EDUCATIVA PARTICULAR PCEI ANDRES VESALIO,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,79,50,21,GUAYAS,GUAYAQUIL,71
2023-2024 INICIO,17H01032,UNIDAD EDUCATIVA PARTICULAR PCEI CARLOS MONTUFAR,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,98,7,19,PICHINCHA,QUITO,26
2023-2024 INICIO,17H04480,UNIDAD EDUCATIVA PARTICULAR PCEI CASA DE LA CULTURA ECUATORIANA,PICHINCHA,17,QUITO,1701,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,15,0,1,PICHINCHA,QUITO,1
2023-2024 INICIO,17H03699,UNIDAD EDUCATIVA PARTICULAR PCEI COMPUINFORMATICA,PICHINCHA,17,QUITO,1701,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",PARTICULAR,150,13,6,PICHINCHA,QUITO,19
2023-2024 INICIO,17H03544,UNIDAD EDUCATIVA PARTICULAR PCEI DEL PACÍFICO,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,131,13,8,PICHINCHA,QUITO,21
2023-2024 INICIO,17H00887,UNIDAD EDUCATIVA PARTICULAR PCEI ECUADOR,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,251,41,36,PICHINCHA,QUITO,77
2023-2024 INICIO,17H03710,UNIDAD EDUCATIVA PARTICULAR PCEI ECUADOR,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,195,49,23,PICHINCHA,QUITO,72
2023-2024 INICIO,17H00076,UNIDAD EDUCATIVA PARTICULAR PCEI EDUCACION SIGLO XXI,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,27,5,4,PICHINCHA,QUITO,9
2023-2024 INICIO,17H04427,UNIDAD EDUCATIVA PARTICULAR PCEI EDUTEC,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,34,1,1,PICHINCHA,QUITO,2
2023-2024 INICIO,17H04428,UNIDAD EDUCATIVA PARTICULAR PCEI EDUTEC,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,58,4,3,PICHINCHA,QUITO,7
2023-2024 INICIO,17H04417,UNIDAD EDUCATIVA PARTICULAR PCEI EUGENE CERMAN,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,10,4,2,PICHINCHA,QUITO,6
2023-2024 INICIO,17H04397,UNIDAD EDUCATIVA PARTICULAR PCEI FIBONACCI,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,11,0,1,PICHINCHA,QUITO,1
2023-2024 INICIO,23H00333,UNIDAD EDUCATIVA PARTICULAR PCEI JACQUES COUSTEAU,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,325,58,58,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,116
2023-2024 INICIO,17H03044,UNIDAD EDUCATIVA PARTICULAR PCEI JEAN PEAGET,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,25,7,0,PICHINCHA,QUITO,7
2023-2024 INICIO,09H05533,UNIDAD EDUCATIVA PARTICULAR PCEI LIBERTADOR BOLÍVAR,GUAYAS,9,GUAYAQUIL,901,BACHILLERATO,PARTICULAR,19,8,10,GUAYAS,GUAYAQUIL,18
2023-2024 INICIO,17H04453,UNIDAD EDUCATIVA PARTICULAR PCEI LIDERES,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,142,80,39,PICHINCHA,QUITO,119
2023-2024 INICIO,09H06683,UNIDAD EDUCATIVA PARTICULAR PCEI PADRE JUAN DE VELASCO,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,150,13,15,GUAYAS,GUAYAQUIL,28
2023-2024 INICIO,09H06158,UNIDAD EDUCATIVA PARTICULAR PCEI PROVINCIA DEL GUAYAS,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,186,32,26,GUAYAS,GUAYAQUIL,58
2023-2024 INICIO,17H04108,UNIDAD EDUCATIVA PARTICULAR PCEI SECOMSYS,PICHINCHA,17,QUITO,1701,BACHILLERATO,PARTICULAR,26,14,12,PICHINCHA,QUITO,26
2023-2024 INICIO,17H04356,UNIDAD EDUCATIVA PARTICULAR PCEI TECNOECUATORIANO,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,25,2,3,PICHINCHA,QUITO,5
2023-2024 INICIO,01H01680,UNIDAD EDUCATIVA PARTICULAR PERPETUO SOCORRO,AZUAY,1,CUENCA,101,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,37,12,13,AZUAY,CUENCA,25
2023-2024 INICIO,17H03562,UNIDAD EDUCATIVA PARTICULAR SAN FRANCISCO DE ASIS,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,12,1,4,PICHINCHA,QUITO,5
2023-2024 INICIO,17H04420,UNIDAD EDUCATIVA PARTICULAR SAN JUAN BOSCO,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,13,7,5,PICHINCHA,QUITO,12
2023-2024 INICIO,17H04447,UNIDAD EDUCATIVA PARTICULAR SAN MARTÍN,PICHINCHA,17,QUITO,1701,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,9,2,1,PICHINCHA,QUITO,3
2023-2024 INICIO,02H00812,UNIDAD EDUCATIVA PCEI INTERNACIONAL BOLIVAR,BOLIVAR,2,GUARANDA,201,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",PARTICULAR,44,7,5,BOLIVAR,GUARANDA,12
2023-2024 INICIO,08H02179,UNIDAD EDUCATIVA PCEI PARTICULAR DR EUGENIO ESPEJO,ESMERALDAS,8,QUININDE,804,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,134,18,14,ESMERALDAS,QUININDE,32
2023-2024 INICIO,09H05699,UNIDAD EDUCATIVA PCEI PAUBLA TRINIDAD SANTANA GARCIA,GUAYAS,9,EL EMPALME,908,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,79,11,12,GUAYAS,EL EMPALME,23
2023-2024 INICIO,09H06689,UNIDAD EDUCATIVA PCEI A DISTANCIA RENACIMIENTO,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,21,3,4,GUAYAS,GUAYAQUIL,7
2023-2024 INICIO,09H06017,UNIDAD EDUCATIVA PCEI AB. ELVIA MERCEDES SUAREZ SAN ANDRES DE HERRERA,GUAYAS,9,GUAYAQUIL,901,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,23,11,1,GUAYAS,GUAYAQUIL,12
2023-2024 INICIO,12H02618,UNIDAD EDUCATIVA PCEI BLAISE PASCAL,LOS RIOS,12,QUEVEDO,1205,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,226,30,34,LOS RIOS,QUEVEDO,64
2023-2024 INICIO,18H00705,UNIDAD EDUCATIVA PCEI CADVRISH,TUNGURAHUA,18,AMBATO,1801,BACHILLERATO Y OFERTAS INTENSIVAS,PARTICULAR,756,88,66,TUNGURAHUA,AMBATO,154
2023-2024 INICIO,18H01000,UNIDAD EDUCATIVA PCEI CHARLES DARWIN,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",PARTICULAR,219,27,22,TUNGURAHUA,AMBATO,49
2023-2024 INICIO,02H00722,UNIDAD EDUCATIVA PCEI DE BOLIVAR CAT SAN LUIS DE PAMBIL,BOLIVAR,2,GUARANDA,201,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,62,2,10,BOLIVAR,GUARANDA,12
2023-2024 INICIO,02H00304,UNIDAD EDUCATIVA PCEI DE BOLÍVAR EXTENSIÓN CHILLANES,BOLIVAR,2,CHILLANES,202,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,104,13,16,BOLIVAR,CHILLANES,29
2023-2024 INICIO,02H00726,UNIDAD EDUCATIVA PCEI DE BOLÍVAR EXTENSIÓN SAN JOSÉ DEL TAMBO,BOLIVAR,2,CHILLANES,202,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,28,5,3,BOLIVAR,CHILLANES,8
