anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,01H00839,UNIDAD EDUCATIVA SININCAY,AZUAY,1,CUENCA,101,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,522,17,16,AZUAY,CUENCA,33
2023-2024 INICIO,09H05268,UNIDAD EDUCATIVA SIR THOMAS MORE,GUAYAS,9,DAULE,906,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,2095,44,45,GUAYAS,DAULE,89
2023-2024 INICIO,09H05091,"UNIDAD EDUCATIVA SOCIEDAD, EDUCACION Y RENOVACION",GUAYAS,9,PLAYAS,921,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,PARTICULAR,222,12,9,GUAYAS,PLAYAS,21
2023-2024 INICIO,11H01608,UNIDAD EDUCATIVA SOLDADO FRANCISCO ARTURO CORONEL,LOJA,11,ZAPOTILLO,1113,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,67,2,1,LOJA,ZAPOTILLO,3
2023-2024 INICIO,09H03783,UNIDAD EDUCATIVA SOLDADO MONGE,GUAYAS,9,EL EMPALME,908,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,1150,84,86,GUAYAS,EL EMPALME,170
2023-2024 INICIO,23H00183,UNIDAD EDUCATIVA STEPHEN HAWKING,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,72,6,10,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,16
2023-2024 INICIO,13H03943,UNIDAD EDUCATIVA SUCRE MIELES,MANABI,13,PEDERNALES,1317,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,1387,59,77,MANABI,PEDERNALES,136
2023-2024 INICIO,14H00351,UNIDAD EDUCATIVA SUCÚA,MORONA SANTIAGO,14,SUCUA,1406,BACHILLERATO Y OFERTAS INTENSIVAS,FISCAL,925,79,75,MORONA SANTIAGO,SUCUA,154
2023-2024 INICIO,21H00643,UNIDAD EDUCATIVA SUCUMBIOS,SUCUMBIOS,21,SUCUMBIOS,2105,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,242,6,9,SUCUMBIOS,SUCUMBIOS,15
2023-2024 INICIO,18H00047,UNIDAD EDUCATIVA SUIZO,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,332,12,9,TUNGURAHUA,AMBATO,21
2023-2024 INICIO,08H00325,UNIDAD EDUCATIVA TABIAZO,ESMERALDAS,8,ESMERALDAS,801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,563,20,13,ESMERALDAS,ESMERALDAS,33
2023-2024 INICIO,14H00421,UNIDAD EDUCATIVA TAISHA,MORONA SANTIAGO,14,TAISHA,1409,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,1004,13,21,MORONA SANTIAGO,TAISHA,34
2023-2024 INICIO,18H00224,UNIDAD EDUCATIVA TARCILA ALBORNOZ DE GROSS,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,299,4,9,TUNGURAHUA,AMBATO,13
2023-2024 INICIO,08H00737,UNIDAD EDUCATIVA TARQUI,ESMERALDAS,8,QUININDE,804,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,879,33,35,ESMERALDAS,QUININDE,68
2023-2024 INICIO,14H00311,UNIDAD EDUCATIVA TAYUZA,MORONA SANTIAGO,14,SANTIAGO,1405,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,465,16,15,MORONA SANTIAGO,SANTIAGO,31
2023-2024 INICIO,11H01200,UNIDAD EDUCATIVA TCNEL LAURO GUERRERO,LOJA,11,PALTAS,1109,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,186,10,10,LOJA,PALTAS,20
